Date,Heure,euros,kWh
4/28/2024,0:00:00,0.66,3.15
4/28/2024,0:30:00,0.66,3.13
4/28/2024,1:00:00,0.67,3.16
4/28/2024,1:30:00,0.59,2.78
4/28/2024,2:00:00,0.43,2.02
4/28/2024,2:30:00,0.31,1.43
4/28/2024,3:00:00,0.26,1.22
4/28/2024,3:30:00,0.23,1.04
4/28/2024,4:00:00,0.25,1.14
4/28/2024,4:30:00,0.21,0.95
4/28/2024,5:00:00,0.12,0.52
4/28/2024,5:30:00,0.22,1
4/28/2024,6:00:00,0.06,0.23
4/28/2024,6:30:00,0.04,0.1
4/28/2024,7:00:00,0.04,0.11
4/28/2024,7:30:00,0.03,0.07
4/28/2024,8:00:00,0.03,0.08
4/28/2024,8:30:00,0.04,0.1
4/28/2024,9:00:00,0.04,0.09
4/28/2024,9:30:00,0.08,0.24
4/28/2024,10:00:00,0.06,0.17
4/28/2024,10:30:00,0.13,0.45
4/28/2024,11:00:00,0.06,0.16
4/28/2024,11:30:00,0.06,0.16
4/28/2024,12:00:00,0.06,0.18
4/28/2024,12:30:00,0.2,0.7
4/28/2024,13:00:00,0.29,1.04
4/28/2024,13:30:00,0.19,0.65
4/28/2024,14:00:00,0.08,0.24
4/28/2024,14:30:00,0.06,0.17
4/28/2024,15:00:00,0.04,0.11
4/28/2024,15:30:00,0.04,0.12
4/28/2024,16:00:00,0.05,0.14
4/28/2024,16:30:00,0.03,0.08
4/28/2024,17:00:00,0.05,0.13
4/28/2024,17:30:00,0.05,0.13
4/28/2024,18:00:00,0.04,0.12
4/28/2024,18:30:00,0.04,0.1
4/28/2024,19:00:00,0.11,0.36
4/28/2024,19:30:00,0.05,0.16
4/28/2024,20:00:00,0.13,0.43
4/28/2024,20:30:00,0.28,1
4/28/2024,21:00:00,0.15,0.53
4/28/2024,21:30:00,0.14,0.46
4/28/2024,22:00:00,0.12,0.42
4/28/2024,22:30:00,0.3,1.28
4/28/2024,23:00:00,0.56,2.66
4/28/2024,23:30:00,0.47,2.21
4/29/2024,0:00:00,0.43,2.01
4/29/2024,0:30:00,0.54,2.55
4/29/2024,1:00:00,0.42,1.99
4/29/2024,1:30:00,0.28,1.31
4/29/2024,2:00:00,0.14,0.6
4/29/2024,2:30:00,0.24,1.11
4/29/2024,3:00:00,0.38,1.78
4/29/2024,3:30:00,0.14,0.6
4/29/2024,4:00:00,0.13,0.59
4/29/2024,4:30:00,0.22,1.01
4/29/2024,5:00:00,0.3,1.39
4/29/2024,5:30:00,0.1,0.42
4/29/2024,6:00:00,0.04,0.12
4/29/2024,6:30:00,0.11,0.38
4/29/2024,7:00:00,0.08,0.27
4/29/2024,7:30:00,0.06,0.18
4/29/2024,8:00:00,0.07,0.21
4/29/2024,8:30:00,0.05,0.15
4/29/2024,9:00:00,0.09,0.28
4/29/2024,9:30:00,0.05,0.13
4/29/2024,10:00:00,0.05,0.15
4/29/2024,10:30:00,0.06,0.18
4/29/2024,11:00:00,0.04,0.12
4/29/2024,11:30:00,0.05,0.14
4/29/2024,12:00:00,0.04,0.1
4/29/2024,12:30:00,0.08,0.25
4/29/2024,13:00:00,0.08,0.24
4/29/2024,13:30:00,0.06,0.17
4/29/2024,14:00:00,0.05,0.13
4/29/2024,14:30:00,0.05,0.14
4/29/2024,15:00:00,0.05,0.15
4/29/2024,15:30:00,0.06,0.18
4/29/2024,16:00:00,0.04,0.12
4/29/2024,16:30:00,0.05,0.13
4/29/2024,17:00:00,0.07,0.2
4/29/2024,17:30:00,0.04,0.12
4/29/2024,18:00:00,0.05,0.13
4/29/2024,18:30:00,0.05,0.14
4/29/2024,19:00:00,0.05,0.13
4/29/2024,19:30:00,0.23,0.81
4/29/2024,20:00:00,0.1,0.31
4/29/2024,20:30:00,0.06,0.2
4/29/2024,21:00:00,0.06,0.18
4/29/2024,21:30:00,0.11,0.35
4/29/2024,22:00:00,0.05,0.16
4/29/2024,22:30:00,0.27,1.17
4/29/2024,23:00:00,0.56,2.67
4/29/2024,23:30:00,0.47,2.22
4/30/2024,0:00:00,0.46,2.17
4/30/2024,0:30:00,0.2,0.91
4/30/2024,1:00:00,0.13,0.56
4/30/2024,1:30:00,0.33,1.52
4/30/2024,2:00:00,0.13,0.56
4/30/2024,2:30:00,0.26,1.2
4/30/2024,3:00:00,0.35,1.64
4/30/2024,3:30:00,0.13,0.56
4/30/2024,4:00:00,0.13,0.58
4/30/2024,4:30:00,0.2,0.92
4/30/2024,5:00:00,0.22,0.99
4/30/2024,5:30:00,0.08,0.35
4/30/2024,6:00:00,0.1,0.41
4/30/2024,6:30:00,0.07,0.25
4/30/2024,7:00:00,0.05,0.16
4/30/2024,7:30:00,0.04,0.12
4/30/2024,8:00:00,0.03,0.08
4/30/2024,8:30:00,0.03,0.08
4/30/2024,9:00:00,0.04,0.11
4/30/2024,9:30:00,0.07,0.21
4/30/2024,10:00:00,0.04,0.12
4/30/2024,10:30:00,0.04,0.09
4/30/2024,11:00:00,0.03,0.09
4/30/2024,11:30:00,0.04,0.1
4/30/2024,12:00:00,0.04,0.11
4/30/2024,12:30:00,0.04,0.1
4/30/2024,13:00:00,0.08,0.25
4/30/2024,13:30:00,0.03,0.07
4/30/2024,14:00:00,0.04,0.12
4/30/2024,14:30:00,0.04,0.09
4/30/2024,15:00:00,0.04,0.11
4/30/2024,15:30:00,0.03,0.09
4/30/2024,16:00:00,0.03,0.08
4/30/2024,16:30:00,0.04,0.1
4/30/2024,17:00:00,0.05,0.15
4/30/2024,17:30:00,0.04,0.1
4/30/2024,18:00:00,0.04,0.12
4/30/2024,18:30:00,0.04,0.1
4/30/2024,19:00:00,0.09,0.3
4/30/2024,19:30:00,0.13,0.45
4/30/2024,20:00:00,0.06,0.18
4/30/2024,20:30:00,0.06,0.18
4/30/2024,21:00:00,0.06,0.19
4/30/2024,21:30:00,0.06,0.17
4/30/2024,22:00:00,0.09,0.29
4/30/2024,22:30:00,0.28,1.18
4/30/2024,23:00:00,0.55,2.61
4/30/2024,23:30:00,0.26,1.18
5/1/2024,0:00:00,0.22,1
5/1/2024,0:30:00,0.32,1.49
5/1/2024,1:00:00,0.13,0.57
5/1/2024,1:30:00,0.2,0.91
5/1/2024,2:00:00,0.13,0.55
5/1/2024,2:30:00,0.22,1
5/1/2024,3:00:00,0.19,0.85
5/1/2024,3:30:00,0.25,1.17
5/1/2024,4:00:00,0.19,0.86
5/1/2024,4:30:00,0.31,1.46
5/1/2024,5:00:00,0.13,0.57
5/1/2024,5:30:00,0.09,0.39
5/1/2024,6:00:00,0.03,0.1
5/1/2024,6:30:00,0.17,0.61
5/1/2024,7:00:00,0.04,0.11
5/1/2024,7:30:00,0.08,0.25
5/1/2024,8:00:00,0.04,0.1
5/1/2024,8:30:00,0.06,0.2
5/1/2024,9:00:00,0.07,0.22
5/1/2024,9:30:00,0.06,0.19
5/1/2024,10:00:00,0.13,0.43
5/1/2024,10:30:00,0.16,0.55
5/1/2024,11:00:00,0.05,0.13
5/1/2024,11:30:00,0.06,0.17
5/1/2024,12:00:00,0.13,0.43
5/1/2024,12:30:00,0.05,0.13
5/1/2024,13:00:00,0.08,0.26
5/1/2024,13:30:00,0.06,0.16
5/1/2024,14:00:00,0.04,0.12
5/1/2024,14:30:00,0.04,0.12
5/1/2024,15:00:00,0.05,0.14
5/1/2024,15:30:00,0.04,0.12
5/1/2024,16:00:00,0.05,0.14
5/1/2024,16:30:00,0.04,0.1
5/1/2024,17:00:00,0.04,0.12
5/1/2024,17:30:00,0.05,0.13
5/1/2024,18:00:00,0.07,0.21
5/1/2024,18:30:00,0.09,0.28
5/1/2024,19:00:00,0.06,0.19
5/1/2024,19:30:00,0.06,0.2
5/1/2024,20:00:00,0.11,0.36
5/1/2024,20:30:00,0.07,0.2
5/1/2024,21:00:00,0.05,0.16
5/1/2024,21:30:00,0.06,0.17
5/1/2024,22:00:00,0.05,0.14
5/1/2024,22:30:00,0.27,1.14
5/1/2024,23:00:00,0.55,2.59
5/1/2024,23:30:00,0.62,2.93
5/2/2024,0:00:00,0.43,2.02
5/2/2024,0:30:00,0.38,1.81
5/2/2024,1:00:00,0.12,0.54
5/2/2024,1:30:00,0.24,1.1
5/2/2024,2:00:00,0.2,0.92
5/2/2024,2:30:00,0.17,0.79
5/2/2024,3:00:00,0.16,0.72
5/2/2024,3:30:00,0.32,1.5
5/2/2024,4:00:00,0.35,1.64
5/2/2024,4:30:00,0.13,0.58
5/2/2024,5:00:00,0.15,0.68
5/2/2024,5:30:00,0.24,1.12
5/2/2024,6:00:00,0.04,0.13
5/2/2024,6:30:00,0.11,0.4
5/2/2024,7:00:00,0.05,0.13
5/2/2024,7:30:00,0.03,0.08
5/2/2024,8:00:00,0.03,0.08
5/2/2024,8:30:00,0.04,0.1
5/2/2024,9:00:00,0.04,0.09
5/2/2024,9:30:00,0.03,0.08
5/2/2024,10:00:00,0.04,0.09
5/2/2024,10:30:00,0.04,0.1
5/2/2024,11:00:00,0.04,0.1
5/2/2024,11:30:00,0.03,0.07
5/2/2024,12:00:00,0.04,0.09
5/2/2024,12:30:00,0.06,0.2
5/2/2024,13:00:00,0.08,0.25
5/2/2024,13:30:00,0.04,0.09
5/2/2024,14:00:00,0.03,0.08
5/2/2024,14:30:00,0.05,0.14
5/2/2024,15:00:00,0.03,0.09
5/2/2024,15:30:00,0.04,0.09
5/2/2024,16:00:00,0.03,0.08
5/2/2024,16:30:00,0.04,0.11
5/2/2024,17:00:00,0.04,0.09
5/2/2024,17:30:00,0.03,0.08
5/2/2024,18:00:00,0.17,0.59
5/2/2024,18:30:00,0.23,0.79
5/2/2024,19:00:00,0.09,0.31
5/2/2024,19:30:00,0.16,0.55
5/2/2024,20:00:00,0.06,0.19
5/2/2024,20:30:00,0.06,0.16
5/2/2024,21:00:00,0.05,0.15
5/2/2024,21:30:00,0.09,0.28
5/2/2024,22:00:00,0.05,0.13
5/2/2024,22:30:00,0.27,1.15
5/2/2024,23:00:00,0.55,2.58
5/2/2024,23:30:00,0.28,1.32
5/3/2024,0:00:00,0.17,0.77
5/3/2024,0:30:00,0.24,1.11
5/3/2024,1:00:00,0.18,0.82
5/3/2024,1:30:00,0.23,1.07
5/3/2024,2:00:00,0.12,0.53
5/3/2024,2:30:00,0.22,1
5/3/2024,3:00:00,0.15,0.66
5/3/2024,3:30:00,0.41,1.95
5/3/2024,4:00:00,0.21,0.97
5/3/2024,4:30:00,0.14,0.63
5/3/2024,5:00:00,0.13,0.57
5/3/2024,5:30:00,0.09,0.39
5/3/2024,6:00:00,0.1,0.44
5/3/2024,6:30:00,0.11,0.4
5/3/2024,7:00:00,0.08,0.25
5/3/2024,7:30:00,0.05,0.16
5/3/2024,8:00:00,0.07,0.21
5/3/2024,8:30:00,0.06,0.18
5/3/2024,9:00:00,0.04,0.12
5/3/2024,9:30:00,0.04,0.1
5/3/2024,10:00:00,0.05,0.14
5/3/2024,10:30:00,0.05,0.16
5/3/2024,11:00:00,0.05,0.13
5/3/2024,11:30:00,0.04,0.12
5/3/2024,12:00:00,0.05,0.14
5/3/2024,12:30:00,0.11,0.35
5/3/2024,13:00:00,0.06,0.2
5/3/2024,13:30:00,0.06,0.18
5/3/2024,14:00:00,0.05,0.14
5/3/2024,14:30:00,0.05,0.13
5/3/2024,15:00:00,0.04,0.11
5/3/2024,15:30:00,0.05,0.15
5/3/2024,16:00:00,0.05,0.16
5/3/2024,16:30:00,0.05,0.15
5/3/2024,17:00:00,0.03,0.09
5/3/2024,17:30:00,0.03,0.09
5/3/2024,18:00:00,0.13,0.45
5/3/2024,18:30:00,0.05,0.15
5/3/2024,19:00:00,0.04,0.11
5/3/2024,19:30:00,0.04,0.1
5/3/2024,20:00:00,0.05,0.13
5/3/2024,20:30:00,0.06,0.17
5/3/2024,21:00:00,0.05,0.16
5/3/2024,21:30:00,0.05,0.13
5/3/2024,22:00:00,0.06,0.18
5/3/2024,22:30:00,0.27,1.15
5/3/2024,23:00:00,0.55,2.6
5/3/2024,23:30:00,0.36,1.69
